BUS NO.,PLATE NO.,COMPANY,GARAGE,CHASSIS NUMBER,ENGINE NUMBER,CASE NUMBER
471901,NBT1539,ES TRANS.,MIRASOL,,,
471902,NBR8351,ES TRANS.,MIRASOL,,,
471903,NBR8354,ES TRANS.,MIRASOL,,,
471906,NBR8349,ES TRANS.,MIRASOL,,,
471907,NBR8348,ES TRANS.,MIRASOL,,,
471908,NBR8347,ES TRANS.,MIRASOL,,,
471909,NBR8346,ES TRANS.,MIRASOL,,,
472017*,NDL7299,EARTH STAR,MIRASOL,,,
472020*,NDL7302,EARTH STAR,BALINTAWAK,,,
472021*,NDL7303,EARTH STAR,BALINTAWAK,,,
472022*,NDL7304,EARTH STAR,MIRASOL,,,
472023*,NDL7305,EARTH STAR,MIRASOL,,,
472024*,NDL7306,EARTH STAR,MIRASOL,,,
472025*,NDL7368,EARTH STAR,BALINTAWAK,,,
4701907*,NDJ2694,EARTH STAR,MIRASOL,,,
4701908*,NDJ2693,EARTH STAR,BALINTAWAK,,,
4701909*,NDJ2690,EARTH STAR,MIRASOL,,,
4701911*,NDJ2697,EARTH STAR,MIRASOL,,,
4701912*,NDJ2695,EARTH STAR,MIRASOL,,,
4701913*,NDJ2698,EARTH STAR,MIRASOL,,,
4701914*,NDJ2699,EARTH STAR,MIRASOL,,,
4701915*,NDJ2696,EARTH STAR,MIRASOL,,,
47019130*,NDJ2698,EARTH STAR,MIRASOL,,,
472016*,NDL7298,EARTH STAR,MIRASOL,,,
471904*,NDL7367,EARTH STAR,MIRASOL,,,
471905*,NDL7366,EARTH STAR,BALINTAWAK,,,
4701906*,NDJ2855,EARTH STAR,MIRASOL,,,
4701910*,NDJ2856,EARTH STAR,MIRASOL,,,
472019*,NDL7301,EARTH STAR,MIRASOL,,,
472018*,NDL7300,EARTH STAR,MIRASOL,,,
471917,NBR8378,ES TRANS.,MIRASOL,,,
471910,NBR8345,ES TRANS.,MIRASOL,,,
471911,NBR8344,ES TRANS.,MIRASOL,,,
471912,NBR8373,ES TRANS.,MIRASOL,,,
471913,NBR8371,ES TRANS.,MIRASOL,,,
471914,NBR8369,ES TRANS.,MIRASOL,,,
471915,NBT1538,ES TRANS.,MIRASOL,,,
471916,NBR8367,ES TRANS.,MIRASOL,,,
471919,NBR8379,ES TRANS.,MIRASOL,,,
471920,NBR8380,ES TRANS.,MIRASOL,,,
471921,NBR8381,ES TRANS.,MIRASOL,,,
